scientific,genus,region,sex,wt,avg_wt,Dimorph_cd,diet_cd_1,strata_cd,activity_cd
Rattus rattus,Rattus,SW,B,280,280,0,F,T,N
Rattus tunneyi,Rattus,SC,B,86,86,0,F,ST,N
Rattus tunneyi,Rattus,SW,B,86,86,0,F,ST,N
Setonix brachyurus,Setonix,SW,M,3450,3000,1,H,T,N
Setonix brachyurus,Setonix,SW,F,2550,3000,1,H,T,N
Sminthopsis crassicaudata,Sminthopsis,SC,B,15,15,0,A,T,N
Sminthopsis crassicaudata,Sminthopsis,SW,B,15,15,0,A,T,N
Sminthopsis dolichura,Sminthopsis,SW,M,14.8,13.6,1,A,T,N
Sminthopsis dolichura,Sminthopsis,SW,F,12.4,13.6,1,A,T,N
Sminthopsis gilberti,Sminthopsis,SW,B,18,18,0,A,T,N
Sminthopsis granulipes,Sminthopsis,SW,B,25,25,0,A,T,N
Sminthopsis griseoventer,Sminthopsis,SW,M,19,17.5,1,A,T,N
Sminthopsis griseoventer,Sminthopsis,SW,F,16,17.5,1,A,T,N
Sminthopsis hirtipes,Sminthopsis,SW,B,15,15,0,A,T,N
Sminthopsis macroura,Sminthopsis,SC,B,20,20,0,A,T,N
Sminthopsis murina,Sminthopsis,SC,F,14,17,1,A,T,N
Sminthopsis murina,Sminthopsis,SC,M,20,17,1,A,T,N
Sus scrofa,Sus,SW,M,105000,86250,1,F,T,N
Sus scrofa,Sus,SW,F,67500,86250,1,F,T,N
Sus scrofa,Sus,SC,M,105000,86250,1,F,T,N
Sus scrofa,Sus,SC,F,67500,86250,1,F,T,N
Tachyglossus aculeatus,Tachyglossus,SC,B,4500,4500,0,A,ST,N
Tachyglossus aculeatus,Tachyglossus,SW,B,4500,4500,0,A,ST,N
Tarsipes rostratus,Tarsipes,SW,B,9,9,0,F,A,N
Trichosurus vulpecula,Trichosurus,SC,M,2900,2625,1,H,A,N
Trichosurus vulpecula,Trichosurus,SC,F,2350,2625,1,H,A,N
Trichosurus vulpecula,Trichosurus,SW,M,2900,2625,1,H,A,N
Trichosurus vulpecula,Trichosurus,SW,F,2350,2625,1,H,A,N
Vombatus ursinus,Vombatus,SC,B,26000,26000,0,H,ST,N
Vulpes vulpes,Vulpes,SW,M,6500,5950,1,A,T,N
Vulpes vulpes,Vulpes,SW,F,5400,5950,1,A,T,N
Vulpes vulpes,Vulpes,SC,M,6500,5950,1,A,T,N
Vulpes vulpes,Vulpes,SC,F,5400,5950,1,A,T,N
